"Date","Province","HA","HSDA","Cases_Reported","Cases_Reported_Smoothed"
2020-08-10,"BC","Northern","Northeast",4,0.86
2020-08-10,"BC","Northern","Northern Interior",0,0
2020-08-10,"BC","Northern","Northwest",0,0.43
2020-08-10,"BC","Vancouver Coastal","All",13,16
2020-08-10,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",0,2.71
2020-08-10,"BC","Vancouver Coastal","Richmond",0,1.43
2020-08-10,"BC","Vancouver Coastal","Unknown",0,0.29
2020-08-10,"BC","Vancouver Coastal","Vancouver",13,11.57
2020-08-10,"BC","Vancouver Island","All",0,0.29
2020-08-10,"BC","Vancouver Island","Central Vancouver Island",0,0.14
2020-08-10,"BC","Vancouver Island","North Vancouver Island",0,0.14
2020-08-10,"BC","Vancouver Island","South Vancouver Island",0,0
2020-08-10,"BC","Vancouver Island","Unknown",0,0
2020-08-10,"Out of Canada","Out of Canada","Out of Canada",0,1
2020-08-11,"BC","All","All",87,50.71
2020-08-11,"BC","Fraser","All",39,27.14
2020-08-11,"BC","Fraser","Fraser East",1,2.29
2020-08-11,"BC","Fraser","Fraser North",6,8.29
2020-08-11,"BC","Fraser","Fraser South",31,16.29
2020-08-11,"BC","Fraser","Unknown",1,0.29
2020-08-11,"BC","Interior","All",3,1.43
2020-08-11,"BC","Interior","East Kootenay",0,0
2020-08-11,"BC","Interior","Kootenay Boundary",0,0
2020-08-11,"BC","Interior","Okanagan",2,1.14
2020-08-11,"BC","Interior","Thompson Cariboo Shuswap",1,0.29
2020-08-11,"BC","Northern","All",2,1.57
2020-08-11,"BC","Northern","Northeast",2,1.14
2020-08-11,"BC","Northern","Northern Interior",0,0
2020-08-11,"BC","Northern","Northwest",0,0.43
2020-08-11,"BC","Vancouver Coastal","All",41,20
2020-08-11,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",5,2.71
2020-08-11,"BC","Vancouver Coastal","Richmond",1,1.43
2020-08-11,"BC","Vancouver Coastal","Unknown",0,0.14
2020-08-11,"BC","Vancouver Coastal","Vancouver",35,15.71
2020-08-11,"BC","Vancouver Island","All",2,0.57
2020-08-11,"BC","Vancouver Island","Central Vancouver Island",1,0.29
2020-08-11,"BC","Vancouver Island","North Vancouver Island",0,0.14
2020-08-11,"BC","Vancouver Island","South Vancouver Island",1,0.14
2020-08-11,"BC","Vancouver Island","Unknown",0,0
2020-08-11,"Out of Canada","Out of Canada","Out of Canada",0,0.86
2020-08-12,"BC","All","All",74,54.86
2020-08-12,"BC","Fraser","All",40,28.43
2020-08-12,"BC","Fraser","Fraser East",7,2.71
2020-08-12,"BC","Fraser","Fraser North",13,8.86
2020-08-12,"BC","Fraser","Fraser South",20,16.57
2020-08-12,"BC","Fraser","Unknown",0,0.29
2020-08-12,"BC","Interior","All",3,1.71
2020-08-12,"BC","Interior","East Kootenay",0,0
2020-08-12,"BC","Interior","Kootenay Boundary",0,0
2020-08-12,"BC","Interior","Okanagan",3,1.43
2020-08-12,"BC","Interior","Thompson Cariboo Shuswap",0,0.29
2020-08-12,"BC","Northern","All",2,1.86
2020-08-12,"BC","Northern","Northeast",2,1.43
2020-08-12,"BC","Northern","Northern Interior",0,0
2020-08-12,"BC","Northern","Northwest",0,0.43
2020-08-12,"BC","Vancouver Coastal","All",29,22.29
2020-08-12,"BC","Vancouver Coastal","North Shore / Coast Garibaldi",5,3
2020-08-12,"BC","Vancouver Coastal","Richmond",0,1.14
2020-08-12,"BC","Vancouver Coastal","Unknown",0,0.14
2020-08-12,"BC","Vancouver Coastal","Vancouver",24,18
2020-08-12,"BC","Vancouver Island","All",0,0.57
2020-08-12,"BC","Vancouver Island","Central Vancouver Island",0,0.29
2020-08-12,"BC","Vancouver Island","North Vancouver Island",0,0.14
2020-08-12,"BC","Vancouver Island","South Vancouver Island",0,0.14
2020-08-12,"BC","Vancouver Island","Unknown",0,0
2020-08-12,"Out of Canada","Out of Canada","Out of Canada",1,0.86
2020-08-13,"BC","All","All",91,61.43
2020-08-13,"BC","Fraser","All",33,29.86
2020-08-13,"BC","Fraser","Fraser East",1,2.57
2020-08-13,"BC","Fraser","Fraser North",11,9.43
2020-08-13,"BC","Fraser","Fraser South",21,17.57
2020-08-13,"BC","Fraser","Unknown",0,0.29
2020-08-13,"BC","Interior","All",3,2
2020-08-13,"BC","Interior","East Kootenay",0,0
2020-08-13,"BC","Interior","Kootenay Boundary",0,0
2020-08-13,"BC","Interior","Okanagan",3,1.71
2020-08-13,"BC","Interior","Thompson Cariboo Shuswap",0,0.29
2020-08-13,"BC","Northern","All",6,2.43
2020-08-13,"BC","Northern","Northeast",6,2.29
