place,province,lat,long,violation,sanction,fine_certainty,fine_value,number_of_charges_or_violations,number_of_people,individual_business,report_month,acting_agency,legislation,known_demographic,event_desc,event_url,other_event_url
"niagara falls, ontario",on,43.0896,-79.0849,failure to comply with physical distancing regulations,"two of the charges were for failing to comply with the emergency order, and one was for obstructing any person performing their duty during a declared emergency.",no,NA,3,3,individual,august,niagra region bylaw,emergency management and civil protection act,not specified,three charges laid in niagara falls since stage 1 began,https://www.niagarafallsreview.ca/news/niagara-region/2020/08/26/three-charges-laid-in-niagara-falls-since-stage-1-began.html,
"antigonish, nova scotia",ns,45.6227,-61.9928,failing to self-isolate upon return from outside of atlantic canada,fine $1000,yes,1000,1,1,individual,august,nova scotia rcmp,health protection act,student,"antigonish student fined $1,000 after not self-isolating",https://globalnews.ca/news/7300908/antigonish-student-fined-self-isolating/,
"montreal, quebec",qc,45.5017,-73.5673,"noise violation, officer allegedly used covid-19 as a reason to issue the ticket",fine $449,yes,449,1,1,individual,august,service de police de la ville de montral,local bylaws,chilean-born 51-year-old musician,montreal musician hit with hefty fine for playing in park during pandemic,https://globalnews.ca/news/7302235/montreal-musician-fine-pandemic/,
"calgary, alberta",ab,51.0447,-114.0719,failing to wear a mask,"fine $50, escorted from bank by police",yes,50,1,1,individual,august,calgary police service,municipal bylaw,man without medical exemption,a man was fined for refusing to wear a mask when visiting a bank,https://www.cbc.ca/news/canada/calgary/masks-bylaw-calgary-fine-mandatory-compliance-1.5703913,
"prairie mountain health region, manitoba",mb,53.7609,-98.8139,failing to self-isolate after testing positive for covid-19,fine $486,yes,486,1,1,individual,august,public health,public health order,not specified,one person is fined for failing to self-isolate after testing positive for covid-19,https://winnipeg.ctvnews.ca/manitoba-issues-first-fine-for-violating-self-isolation-orders-1.5091565,
"ucluelet, british columbia",bc,48.9416,-125.5463,entering canadian waters for non-essential reasons,fines $2000,yes,2000,2,2,individual,august,canada border services agency and bc rcmp,federal quarantine act,operators of an american vessel,"an american vessel was intercepted, ordered to returned to the us, and operators were fined $2000",https://www.westerlynews.ca/news/covid-19-american-vessel-intercepted-near-ucluelet-in-violation-of-quarantine-act/,
"vancouver, british columbia",bc,49.2827,-123.1207,entering canada for non-essential reasons,fine $500,yes,500,4,4,individual,august,bc rcmp,federal quarantine act,4 alaskans,"4 alaskans are fined under the federal quarantine act after entering canada to travel to mainland usa, but staying longer than permitted and taking a non-direct route",https://www.thestar.com/news/gta/2020/09/05/todays-coronavirus-news-parts-of-mexico-run-out-of-death-certificates-because-of-covid-19-deaths-trump-urges-americans-to-remain-vigilant.html,
"waterloo, ontario",on,43.4643,-80.5204,refusing to wear a mask on a flight,"fine $1000, possible 1-year fly ban from westjet",yes,1000,1,1,individual,june,transport canada,interim order to prevent certain persons from boarding flights in canada,not specified,a person is fined $1000 for refusing to wear a mask during a flight,https://globalnews.ca/news/7316538/transport-canada-flight-mask-fines/,
"calgary, alberta",ab,51.1215,-114.0076,refusing to wear a mask during a flight,"fine $1000, possible 1-year flight ban from westjet",yes,1000,1,1,individual,july,transport canada,interim order to prevent certain persons from boarding flights in canada,not specified,a person is fined $1000 for refusing to wear a mask during a flight,https://globalnews.ca/news/7316538/transport-canada-flight-mask-fines/,
"newmarket, ontario",on,44.05656,-79.46024,failure to keep patron records,fine $880,yes,880,1,1,business,august,"public health unit, newmarket bylaw, york regional police",reopening ontario act,pub,newmarket pub fined after failing to keep patrons records,https://www.newmarkettoday.ca/coronavirus-covid-19-local-news/newmarkets-grey-goat-pub-charged-with-breaking-covid-rules-2689105,
"winnipeg, manitoba",mb,49.89674,-97.13933,failing to ensure physical distancing between patrons,"two fines, $2542 each",yes,2542,2,1,business,august,unspecified,public health act,a club,a winnipeg club was fined for failing to ensure physical distancing between patrons,https://winnipeg.ctvnews.ca/the-latest-businesses-to-be-fined-for-breaking-covid-19-health-orders-1.5098712,
"winnipeg, manitoba",mb,49.87068,-97.1546,breaking public health measures,fine $2542,yes,2542,1,1,business,august,unspecified,public health act,"hookah lounge named ""arabian dreams""",a hookah lounge was fined again for breaking public health measures,https://winnipeg.ctvnews.ca/the-latest-businesses-to-be-fined-for-breaking-covid-19-health-orders-1.5098712,
"antigonish, nova scotia",ns,45.6227,-61.9928,failing to self-isolate upon arrival from outside atlantic canada,fine $1000,yes,1000,3,3,individual,september,nova scotia rcmp,health protection act,university students,3 university students in antigonish were fined for failing to self-isolate upon arrival from outside of the atlantic bubble,https://atlantic.ctvnews.ca/four-n-s-university-students-fined-for-failing-to-self-isolate-over-labour-day-weekend-1.5098007,
"wolfville, nova scotia",ns,45.0918,-64.3598,failing to self-isolate upon arrival from outside of the atlantic bubble,fine $1000,yes,1000,1,1,individual,september,nova scotia rcmp,health protection act,university student,a university student in wolfville was fined for failing to self-isolate upon arrival from outside of the atlantic bubble,https://atlantic.ctvnews.ca/four-n-s-university-students-fined-for-failing-to-self-isolate-over-labour-day-weekend-1.5098007,
"vancouver, british columbia",bc,49.28761,-123.14091,multiple health violations including failing to ensure distancing between patrons and seating more than 6 people at a table.,closed,no,NA,2,1,business,september,vancouver coastal health,unspecified,2 middle eastern restaurants with the same owner,"2 restaurants, with the same owner, were shut down after multiple and repeated public health vioaltions",https://bc.ctvnews.ca/west-end-restaurants-closed-for-several-violations-of-covid-19-orders-1.5096793,
"vancouver, british columbia",bc,49.27693,-123.11967,violating provincial orders related to covid-19,closed,no,NA,1,1,business,september,vancouver coastal health,unspecified,restaurant,a restaurant is closed after violating orders related to covid-19,https://bc.ctvnews.ca/west-end-restaurants-closed-for-several-violations-of-covid-19-orders-1.5096793,
"waterloo, ontario",on,43.4643,-80.5204,hosting a party of more than 100 people,fine $880,yes,880,3,3,individual,september,waterloo regional police service and waterloo bylaw officers,emergency management and civil protection act,student party,3 students were fined after hosting a party with over 100 other students in attendance,https://www.cbc.ca/news/canada/kitchener-waterloo/waterloo-party-3-people-charged-1.5715571,
ontario,on,51.2538,-85.3232,failing to self-isolate,tickets (likely $1000),yes,1000,27,27,individual,september,royal canadian mounted police,"unspecified, possibly fqa",not specified,27 people were fined by rcmp for failing to self-isolate,https://toronto.ctvnews.ca/ontario-premier-frustrated-over-lack-of-charges-after-622-people-caught-ignoring-isolation-laws-1.5099358,
ontario,on,51.2538,-85.3232,failing to self-isolate,"fine, possibly $1000",yes,1000,8,8,individual,september,ontario provincial police,"unspecified, possibly fqa",not specified,8 people were fined by opp for failing to self-isolate,https://toronto.ctvnews.ca/ontario-premier-frustrated-over-lack-of-charges-after-622-people-caught-ignoring-isolation-laws-1.5099358,
"barrie, ontario",on,44.3894,-79.6903,failing to self-isolate,fine,yes,880,2,2,individual,september,barrie police service,unspecified,not specified,2 people were fined for failing to self-isolate,https://toronto.ctvnews.ca/ontario-premier-frustrated-over-lack-of-charges-after-622-people-caught-ignoring-isolation-laws-1.5099358,
